ID	C	E	NS1	NS2A	NS2B	NS3	NS4A	NS4B	NS5	prM
EU545988	366	1512	1056	678	390	1851	381	753	2709	504
HQ234499	366	1512	1056	678	390	1851	381	753	2709	504
HQ234500	366	1494	1056	678	390	1851	381	753	2709	504
HQ234501	366	1512	1056	678	390	1851	381	753	2709	504
KF268948	366	1512	1056	678	390	1851	381	753	2706	504
KF268949	366	1494	1056	678	390	1851	381	753	2709	504
KF268950	366	1512	1056	678	390	1851	381	753	2706	504
KF383115	366	1512	1056	678	390	1851	381	753	2709	504
KF383116	366	1512	1056	678	390	1851	381	753	2709	504
KF383117	366	1512	1056	678	390	1851	381	753	2709	504
KF383118	366	1512	1056	678	390	1851	381	753	2709	504
KF383119	366	1512	1056	678	390	1851	381	753	2709	504
KJ776791	366	1512	1056	678	390	1851	381	753	2709	504
KU312312	366	1512	1056	678	390	1851	381	753	2709	504
KU321639	366	1512	1056	678	390	1851	381	753	2709	504
KU365777	366	1512	1056	678	390	1851	381	753	2709	504
KU365778	366	1512	1056	678	390	1851	381	753	2709	504
KU365779	366	1512	1056	678	390	1851	381	753	2709	504
KU365780	366	1512	1056	678	390	1851	381	753	2709	504
KU497555	366	1512	1056	678	390	1851	381	753	2709	504
KU501216	366	1512	1056	678	390	1851	381	753	2709	504
KU501217	366	1512	1056	678	390	1851	381	753	2709	504
KU509998	366	1512	1056	678	390	1851	381	753	2709	504
KU527068	366	1512	1056	678	390	1851	381	753	2709	504
KU647676	366	1512	1056	678	390	1851	381	753	2709	504
KU681081	366	1512	1056	678	390	1851	381	753	2709	504
KU681082	366	1512	1056	678	390	1851	381	753	2709	504
KU707826	366	1512	1056	678	390	1851	381	753	2709	504
KU729217	366	1512	1056	678	390	1851	381	753	2709	504
KU729218	366	1512	1056	678	390	1851	381	753	2709	504
KU740184	366	1512	1056	678	390	1851	381	753	2709	504
KU744693	366	1512	1056	678	390	1851	381	753	2709	504
KU758877	366	1512	1056	678	390	1851	381	753	2709	504
KU761564	366	1512	1056	678	390	1851	381	753	2709	504
KU820897	366	1512	1056	678	390	1851	381	753	2709	504
KU820898	366	1512	1056	678	390	1851	381	753	2709	504
KU820899	366	1512	1056	678	390	1851	381	753	2709	504
KU853012	366	1512	1056	678	390	1851	381	753	2709	504
KU853013	366	1512	1056	678	390	1851	381	753	2709	504
KU866423	366	1512	1056	678	390	1851	381	753	2709	504
KU870645	366	1512	1056	678	390	1851	381	753	2709	504
KU922923	366	1512	1056	678	390	1851	381	753	2709	504
KU922960	366	1512	1056	678	390	1851	381	753	2709	504
KU937936	366	1512	1056	678	390	1851	381	753	2709	504
KU940228	366	1512	1056	678	390	1851	381	753	2709	504
KU955589	366	1512	1056	678	390	1851	381	753	2709	504
KU955590	366	1512	1056	678	390	1851	381	753	2709	504
KU955591	366	1512	1056	678	390	1851	381	753	2709	504
KU955592	366	1512	1056	678	390	1851	381	753	2709	504
KU955593	366	1512	1056	678	390	1851	381	753	2709	504
KU955594	366	1500	1056	678	390	1851	381	753	2709	504
KU955595	366	1512	1056	678	390	1851	381	753	2709	504
KU963796	366	1512	1056	678	390	1851	381	753	2709	504
KU991811	366	1512	1056	678	390	1851	381	753	2709	504
KX051563	366	1512	1056	678	390	1851	381	753	2709	504
KX056898	366	1512	1056	678	390	1851	381	753	2709	504
KX087101	366	1512	1056	678	390	1851	381	753	2709	504
KX087102	366	1512	1056	678	390	1851	381	753	2709	504
KX117076	366	1512	1056	678	390	1851	381	753	2709	504
KX156774	366	1512	1056	678	390	1851	381	753	2709	504
KX156775	366	1512	1056	678	390	1851	381	753	2709	504
KX156776	366	1512	1056	678	390	1851	381	753	2709	504
KX185891	366	1512	1056	678	390	1851	381	753	2709	504
KX197192	366	1512	1056	678	390	1851	381	753	2709	504
KX197205	366	1512	1056	678	390	1851	381	753	2709	504
KX198135	366	1512	1056	678	390	1851	381	753	2709	504
KX247632	366	1512	1056	678	390	1851	381	753	2709	504
KX247646	366	1512	1056	678	390	1851	381	753	2709	504
KX262887	366	1512	1056	678	390	1851	381	753	2709	504
KX266255	366	1512	1056	678	390	1851	381	753	2709	504
KX280026	366	1512	1056	678	390	1851	381	753	2709	504
KX369547	366	1512	1056	678	390	1851	381	753	2709	504
KX446950	366	1512	1056	678	390	1851	381	753	2709	504
KX446951	366	1512	1056	678	390	1851	381	753	2709	504
KX447509	366	1512	1056	678	390	1851	381	753	2709	504
KX447510	366	1512	1056	678	390	1851	381	753	2709	504
KX447511	366	1512	1056	678	390	1851	381	753	2709	504
KX447512	366	1512	1056	678	390	1851	381	753	2709	504
KX447513	366	1512	1056	678	390	1851	381	753	2709	504
KX447514	366	1512	1056	678	390	1851	381	753	2709	504
KX447515	366	1512	1056	678	390	1851	381	753	2709	504
KX447516	366	1512	1056	678	390	1851	381	753	2709	504
KX447517	366	1512	1056	678	390	1851	381	753	2709	504
KX520666	366	1512	1056	678	390	1851	381	753	2709	504
KX548902	366	1512	1056	678	390	1851	381	753	2709	504
KX601166	366	1494	1056	678	390	1851	381	753	2709	504
KX673530	366	1512	1056	678	390	1851	381	753	2709	504
KX694532	366	1512	1056	678	390	1851	381	753	2709	504
KX694534	366	1512	1056	678	390	1851	381	753	2709	504
KX702400	366	1512	1056	678	390	1851	381	753	2709	504
KX766028	366	1512	1056	678	390	1851	381	753	2709	504
KX766029	366	1512	1056	678	390	1851	381	753	2709	504
KX806557	366	1512	1056	678	390	1851	381	753	2709	504
KX813683	366	1512	1056	678	390	1851	381	753	2709	504
KX832731	366	1512	1056	678	390	1851	381	753	2709	504
KX838904	366	1512	1056	678	390	1851	381	753	2709	504
KX838905	366	1512	1056	678	390	1851	381	753	2709	504
KX838906	366	1512	1056	678	390	1851	381	753	2709	504
KX842449	366	1512	1056	678	390	1851	381	753	2709	504
LC002520	366	1512	1056	678	390	1851	381	753	2709	504
