ID	Year	Strain	Host	Lineage	SubLineage	Region	Country	Note
LC002520	1947	MR766-Simiiformes	Simiiformes	African	African	Africa	Uganda	
KU955594	1947	MR766-Macaca	Macaca mulatta	African	African	Africa	Uganda	
KF383118	2001	ArD157995	Aedes dalzieli	African	African	Africa	 Senegal	
KF383119	2001	ArD158084	Aedes dalzieli	African	African	Africa	 Senegal	
KF383115	1968	ArB1362	Aedes africanus	African	African	Africa	Central African Republic	
KF268949	1980	ARB15076	Aedes opok	African	African	Africa	Central African Republic	
KF268948	1976	ARB13565	Aedes africanus	African	African	Africa	Central African Republic	
KF268950	1976	ARB7701	Aedes africanus	African	African	African	Central African Republic	
HQ234500	1968	IbH_30656	Homo Sapiens	African	African	Africa	Nigeria	
KF383116	1968	ArD7117	Aedes  luteocephalus	African	African	Africa	Senegal	
HQ234501	1984	ArD_41519	Aedes africanus	African	African	Africa	 Senegal	
KU955595	1984	41671-DAK	Aedes taylori	African	African	Africa	 Senegal	
KU955592	1984	41662-DAK	Aedes taylori	African	African	Africa	 Senegal	
KU955591	1984	41525-DAK	Aedes africanus	African	African	Africa	 Senegal	
KX601166	1984	DakAr41524	Aedes africanus	African	African	Africa	 Senegal	
KF383117	1997	ArD128000	Aedes luteocephalus	African	African	Africa	 Senegal	
HQ234499	1966	P6-740	Aedes aegypti	Asian	South_Eastern_Asian	Asia	Malaysia	Ancestor strain for Asian lineages
KU681082	2012	CPC-0740	Homo Sapiens	Asian	South_Eastern_Asian	Asia	Philippines	
EU545988	2007	Yap2007	Homo Sapiens	Asian	South_Eastern_Asian	Oceania	Micronsia	First large outbreak in humans
KU955593	2010	FSS13025	Homo Sapiens	Asian	South_Eastern_Asian	Asia	Cambodia	
KX694532	2013	PLCal_ZV	Homo Sapiens	Asian	South_Eastern_Asian	Asia	Thailand	
KU681081	2014	SV0127	Homo Sapiens	Asian	South_Eastern_Asian	Asia	Thailand	
KX813683	2016	ZKA-16-097	Homo Sapiens	Asian	South_Eastern_Asian	Asia	Singapore	
KX447517	2014	1_0038_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KU744693	2016	VE_Ganxian	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX197192	2015	PE243	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU321639	2015	ZikaSPH2015	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU509998	2014	Haiti/1225/2014	Homo Sapiens	Asian	Oceania-American	North America	Haiti	
KU527068	2015	Natal_RGN	Homo Sapiens	Asian	Oceania-American	South America	Brazil	microcephaly
KX051563	2016	Haiti/1/2016	Homo Sapiens	Asian	Oceania-American	North America	Haiti	
KX838906	2016	FL03M	Aedes aegypti	Asian	Oceania-American	North America	USA	
KX673530	2016	PHE_semen_Guadeloupe	Homo Sapiens	Asian	Oceania-American	Europe	United Kingdom	
KX838904	2016	FL01M	Aedes aegypti	Asian	Oceania-American	North America	USA	
KX832731	2016	Hu0015SA	Homo Sapiens	Asian	Oceania-American	North America	USA	
KX838905	2016	FL02M	Aedes aegypti	Asian	Oceania-American	North America	USA	
KX842449	2016	ZF10.UR-010	Homo Sapiens	Asian	Oceania-American	North America	USA	
KU853012	2016	PD1	Homo Sapiens	Asian	Oceania-American	Europe	Italy	
KU853013	2016	PD2	Homo Sapiens	Asian	Oceania-American	Europe	Italy	
KU729217	2015	BeH823339	Homo Sapiens	Asian	Oceania-American	South America	Brazil	microcephaly
KX280026	2015	Paraiba_01	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KX056898	2016	GZ02	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU955590	2016	Z16019	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX766028	2016	R114916	Homo Sapiens	Asian	Oceania-American	North America	Dominican Republic	
KU740184	2016	GD01	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU761564	2016	GDZ16001	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU820898	2016	GZ01	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX087101	2015	PRVABC59	Homo Sapiens	Asian	Oceania-American	North America	Puerto Rico	
KU365778	2015	BeH819015	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU758877	2015	17271	Homo Sapiens	Asian	Oceania-American	South America	French Guiana	
KU937936	2016	ZIKVNL00013	Homo Sapiens	Asian	Oceania-American	South America	Suriname	
